SampleID	Run	SamplingTime	Treatment	Replicate	Type	CollectionDate	Quantity	ExtractionDate	ExtractedBy	ExtractionMethod	ElutionBuffer	OriginalElution	QubitAssay	Volume	ng.ml	StockConc
R3_T1_A2_A_1st	3	T1	Antibiotic(Cipro)	2	1stinstar	21-May-16	8	3/5/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	9.19	1.84
R3_T1_A3_A_1st	3	T1	Antibiotic(Cipro)	3	1stinstar	21-May-16	3	3/5/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	10.4	2.08
R3_T1_A5_A_1st	3	T1	Antibiotic(Cipro)	5	1stinstar	21-May-16	4	3/5/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	9.68	1.94
R3_T4_A2_Swab	3	T4	Antibiotic(Cipro)	2	Swab	26-May-16	1	2/22/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	4.06	0.812
R3_T4_A3_Swab	3	T4	Antibiotic(Cipro)	3	Swab	26-May-16	1	2/22/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	8.72	1.74
R3_T4_A4_Swab	3	T4	Antibiotic(Cipro)	4	Swab	26-May-16	1	2/22/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	6.05	1.21
R3_T5_A3_Swab	3	T5	Antibiotic(Cipro)	3	Swab	29-May-16	1	2/26/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	5.54	1.11
R3_T5_A4_Swab	3	T5	Antibiotic(Cipro)	4	Swab	29-May-16	1	2/26/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	3.71	0.742
R3_T6_A1_Swab	3	T6	Antibiotic(Cipro)	1	Swab	2-Jun-16	1	2/26/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	3.79	0.758
R3_T1_CR1_A_1st	3	T1	C.rufifaciesES	1	1stinstar	21-May-16	9	3/5/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	31.8	6.36
R3_T1_CR1_Swab	3	T1	C.rufifaciesES	1	Swab	21-May-16	1	2/21/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	28.6	5.72
R3_T1_CR3_A_1st	3	T1	C.rufifaciesES	3	1stinstar	21-May-16	7	3/5/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	65.3	13.1
R3_T1_CR3_Swab	3	T1	C.rufifaciesES	3	Swab	21-May-16	1	2/21/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	23.1	4.62
R3_T1_CR5_A_1st	3	T1	C.rufifaciesES	5	1stinstar	21-May-16	8	3/5/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	6.04	1.21
R3_T1_CR5_Swab	3	T1	C.rufifaciesES	5	Swab	21-May-16	1	2/21/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	10.3	2.06
R3_T2_CR2_A_2nd	3	T2	C.rufifaciesES	2	2ndinstar	22-May-16	6	3/5/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	31.6	6.32
R3_T2_CR2_Swab	3	T2	C.rufifaciesES	2	Swab	22-May-16	1	2/21/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	13.1	2.62
R3_T2_CR3_A_2nd	3	T2	C.rufifaciesES	3	2ndinstar	22-May-16	5	3/5/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	174	34.8
R3_T2_CR3_Swab	3	T2	C.rufifaciesES	3	Swab	22-May-16	1	2/21/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	27.4	5.48
R3_T2_CR5_A_2nd	3	T2	C.rufifaciesES	5	2ndinstar	22-May-16	11	3/5/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	156	31.2
R3_T2_CR5_Swab	3	T2	C.rufifaciesES	5	Swab	22-May-16	1	2/21/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	26.8	5.36
R3_T3_CR1_A_3rd	3	T3	C.rufifaciesES	1	3rdinstar	24-May-16	14	3/6/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	11.1	2.22
R3_T3_CR1_Swab	3	T3	C.rufifaciesES	1	Swab	24-May-16	1	2/22/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	2.9	0.58
R3_T3_CR4_A_3rd	3	T3	C.rufifaciesES	4	3rdinstar	24-May-16	6	3/6/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	28.3	5.66
R3_T3_CR5_A_3rd	3	T3	C.rufifaciesES	5	3rdinstar	24-May-16	10	3/5/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	97.2	19.4
R3_T4_CR2_A_3rd	3	T4	C.rufifaciesES	2	3rdinstar	26-May-16	4	3/6/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	174	34.8
R3_T4_CR3_A_3rd	3	T4	C.rufifaciesES	3	3rdinstar	26-May-16	12	3/6/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	216	43.2
R3_T4_CR5_A_3rd	3	T4	C.rufifaciesES	5	3rdinstar	26-May-16	5	3/6/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	135	27
R3_T5_CR1_A_Pupa	3	T5	C.rufifaciesES	1	Pupa	29-May-16	6	3/6/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	373	74.6
R3_T5_CR2_A_Pupa	3	T5	C.rufifaciesES	2	Pupa	29-May-16	4	3/6/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	356	71.2
R3_T5_CR4_A_Pupa	3	T5	C.rufifaciesES	4	Pupa	29-May-16	6	3/6/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	316	63.2
R3_T6_CR2_Adult	3	T6	C.rufifaciesES	2	Adult	31-May-7-June-16	4	3/6/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	102	20.4
R3_T6_CR2_Swab	3	T6	C.rufifaciesES	2	Swab	2-Jun-16	1	2/26/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	12.6	2.52
R3_T6_CR3_Adult	3	T6	C.rufifaciesES	3	Adult	31-May-7-June-16	5	3/6/2018	C.Weatherbee	QiagenDNeasyBlood&Tissue	AEBuffer	200	dsDNAHS	1	279	55.8
